PassengerId,Name,Pclass,Sex,Ticket,Cabin
313,"Lahtinen, Mrs. William (Anna Sylfven)",2,female,250651,
314,"Hendekovic, Mr. Ignjac",3,male,349243,
315,"Hart, Mr. Benjamin",2,male,F.C.C. 13529,
316,"Nilsson, Miss. Helmina Josefina",3,female,347470,
317,"Kantor, Mrs. Sinai (Miriam Sternin)",2,female,244367,
318,"Moraweck, Dr. Ernest",2,male,29011,
319,"Wick, Miss. Mary Natalie",1,female,36928,C7
320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",1,female,16966,E34
321,"Dennis, Mr. Samuel",3,male,A/5 21172,
322,"Danoff, Mr. Yoto",3,male,349219,
323,"Slayter, Miss. Hilda Mary",2,female,234818,
324,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",2,female,248738,
325,"Sage, Mr. George John Jr",3,male,CA. 2343,
326,"Young, Miss. Marie Grice",1,female,PC 17760,C32
327,"Nysveen, Mr. Johan Hansen",3,male,345364,
328,"Ball, Mrs. (Ada E Hall)",2,female,28551,D
329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",3,female,363291,
330,"Hippach, Miss. Jean Gertrude",1,female,111361,B18
331,"McCoy, Miss. Agnes",3,female,367226,
332,"Partner, Mr. Austen",1,male,113043,C124
333,"Graham, Mr. George Edward",1,male,PC 17582,C91
334,"Vander Planke, Mr. Leo Edmondus",3,male,345764,
335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",1,female,PC 17611,
336,"Denkoff, Mr. Mitto",3,male,349225,
337,"Pears, Mr. Thomas Clinton",1,male,113776,C2
338,"Burns, Miss. Elizabeth Margaret",1,female,16966,E40
339,"Dahl, Mr. Karl Edwart",3,male,7598,
340,"Blackwell, Mr. Stephen Weart",1,male,113784,T
341,"Navratil, Master. Edmond Roger",2,male,230080,F2
342,"Fortune, Miss. Alice Elizabeth",1,female,19950,C23 C25 C27
343,"Collander, Mr. Erik Gustaf",2,male,248740,
344,"Sedgwick, Mr. Charles Frederick Waddington",2,male,244361,
345,"Fox, Mr. Stanley Hubert",2,male,229236,
346,"Brown, Miss. Amelia ""Mildred""",2,female,248733,F33
347,"Smith, Miss. Marion Elsie",2,female,31418,
348,"Davison, Mrs. Thomas Henry (Mary E Finck)",3,female,386525,
349,"Coutts, Master. William Loch ""William""",3,male,C.A. 37671,
350,"Dimic, Mr. Jovan",3,male,315088,
351,"Odahl, Mr. Nils Martin",3,male,7267,
352,"Williams-Lambert, Mr. Fletcher Fellows",1,male,113510,C128
353,"Elias, Mr. Tannous",3,male,2695,
354,"Arnold-Franchi, Mr. Josef",3,male,349237,
355,"Yousif, Mr. Wazli",3,male,2647,
356,"Vanden Steen, Mr. Leo Peter",3,male,345783,
357,"Bowerman, Miss. Elsie Edith",1,female,113505,E33
358,"Funk, Miss. Annie Clemmer",2,female,237671,
359,"McGovern, Miss. Mary",3,female,330931,
360,"Mockler, Miss. Helen Mary ""Ellie""",3,female,330980,
361,"Skoog, Mr. Wilhelm",3,male,347088,
362,"del Carlo, Mr. Sebastiano",2,male,SC/PARIS 2167,
363,"Barbara, Mrs. (Catherine David)",3,female,2691,
364,"Asim, Mr. Adola",3,male,SOTON/O.Q. 3101310,
365,"O'Brien, Mr. Thomas",3,male,370365,
366,"Adahl, Mr. Mauritz Nils Martin",3,male,C 7076,
367,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,female,110813,D37
368,"Moussa, Mrs. (Mantoura Boulos)",3,female,2626,
369,"Jermyn, Miss. Annie",3,female,14313,
370,"Aubart, Mme. Leontine Pauline",1,female,PC 17477,B35
371,"Harder, Mr. George Achilles",1,male,11765,E50
372,"Wiklund, Mr. Jakob Alfred",3,male,3101267,
373,"Beavan, Mr. William Thomas",3,male,323951,
374,"Ringhini, Mr. Sante",1,male,PC 17760,
375,"Palsson, Miss. Stina Viola",3,female,349909,
376,"Meyer, Mrs. Edgar Joseph (Leila Saks)",1,female,PC 17604,
377,"Landergren, Miss. Aurora Adelia",3,female,C 7077,
378,"Widener, Mr. Harry Elkins",1,male,113503,C82
379,"Betros, Mr. Tannous",3,male,2648,
380,"Gustafsson, Mr. Karl Gideon",3,male,347069,
381,"Bidois, Miss. Rosalie",1,female,PC 17757,
382,"Nakid, Miss. Maria (""Mary"")",3,female,2653,
383,"Tikkanen, Mr. Juho",3,male,STON/O 2. 3101293,
384,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",1,female,113789,
385,"Plotcharsky, Mr. Vasil",3,male,349227,
386,"Davies, Mr. Charles Henry",2,male,S.O.C. 14879,
387,"Goodwin, Master. Sidney Leonard",3,male,CA 2144,
388,"Buss, Miss. Kate",2,female,27849,
389,"Sadlier, Mr. Matthew",3,male,367655,
390,"Lehmann, Miss. Bertha",2,female,SC 1748,
391,"Carter, Mr. William Ernest",1,male,113760,B96 B98
392,"Jansson, Mr. Carl Olof",3,male,350034,
393,"Gustafsson, Mr. Johan Birger",3,male,3101277,
394,"Newell, Miss. Marjorie",1,female,35273,D36
395,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",3,female,PP 9549,G6
396,"Johansson, Mr. Erik",3,male,350052,
397,"Olsson, Miss. Elina",3,female,350407,
398,"McKane, Mr. Peter David",2,male,28403,
399,"Pain, Dr. Alfred",2,male,244278,
400,"Trout, Mrs. William H (Jessie L)",2,female,240929,
401,"Niskanen, Mr. Juha",3,male,STON/O 2. 3101289,
402,"Adams, Mr. John",3,male,341826,
403,"Jussila, Miss. Mari Aina",3,female,4137,
404,"Hakkarainen, Mr. Pekka Pietari",3,male,STON/O2. 3101279,
405,"Oreskovic, Miss. Marija",3,female,315096,
406,"Gale, Mr. Shadrach",2,male,28664,
407,"Widegren, Mr. Carl/Charles Peter",3,male,347064,
408,"Richards, Master. William Rowe",2,male,29106,
409,"Birkeland, Mr. Hans Martin Monsen",3,male,312992,
410,"Lefebre, Miss. Ida",3,female,4133,
411,"Sdycoff, Mr. Todor",3,male,349222,
412,"Hart, Mr. Henry",3,male,394140,
413,"Minahan, Miss. Daisy E",1,female,19928,C78
414,"Cunningham, Mr. Alfred Fleming",2,male,239853,
415,"Sundman, Mr. Johan Julian",3,male,STON/O 2. 3101269,
416,"Meek, Mrs. Thomas (Annie Louise Rowley)",3,female,343095,
417,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",2,female,28220,
418,"Silven, Miss. Lyyli Karoliina",2,female,250652,
419,"Matthews, Mr. William John",2,male,28228,
420,"Van Impe, Miss. Catharina",3,female,345773,
421,"Gheorgheff, Mr. Stanio",3,male,349254,
422,"Charters, Mr. David",3,male,A/5. 13032,
423,"Zimmerman, Mr. Leo",3,male,315082,
424,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",3,female,347080,
425,"Rosblom, Mr. Viktor Richard",3,male,370129,
426,"Wiseman, Mr. Phillippe",3,male,A/4. 34244,
427,"Clarke, Mrs. Charles V (Ada Maria Winfield)",2,female,2003,
428,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",2,female,250655,
429,"Flynn, Mr. James",3,male,364851,
430,"Pickard, Mr. Berk (Berk Trembisky)",3,male,SOTON/O.Q. 392078,E10
431,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",1,male,110564,C52
432,"Thorneycroft, Mrs. Percival (Florence Kate White)",3,female,376564,
433,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",2,female,SC/AH 3085,
434,"Kallio, Mr. Nikolai Erland",3,male,STON/O 2. 3101274,
435,"Silvey, Mr. William Baird",1,male,13507,E44
436,"Carter, Miss. Lucile Polk",1,female,113760,B96 B98
437,"Ford, Miss. Doolina Margaret ""Daisy""",3,female,W./C. 6608,
438,"Richards, Mrs. Sidney (Emily Hocking)",2,female,29106,
439,"Fortune, Mr. Mark",1,male,19950,C23 C25 C27
440,"Kvillner, Mr. Johan Henrik Johannesson",2,male,C.A. 18723,
441,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",2,female,F.C.C. 13529,
442,"Hampe, Mr. Leon",3,male,345769,
443,"Petterson, Mr. Johan Emil",3,male,347076,
444,"Reynaldo, Ms. Encarnacion",2,female,230434,
445,"Johannesen-Bratthammer, Mr. Bernt",3,male,65306,
446,"Dodge, Master. Washington",1,male,33638,A34
447,"Mellinger, Miss. Madeleine Violet",2,female,250644,
448,"Seward, Mr. Frederic Kimber",1,male,113794,
449,"Baclini, Miss. Marie Catherine",3,female,2666,
450,"Peuchen, Major. Arthur Godfrey",1,male,113786,C104
451,"West, Mr. Edwy Arthur",2,male,C.A. 34651,
